Product,Price,fecha
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-03-05 14:34:29.737121
Nipagin Metilparabeno,21553.44,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3779.69,
COSTO_POTE,967.1934500000001,2026-03-06 05:00:56.863685
Nipagin Metilparabeno,23439.8,
Carbopol Acrypol 940,24345.03,
Trietanolamina 85%,6360.07,
Glicerina Refinada Alimenticia,3792.9,
COSTO_POTE,979.6489999999999,2026-03-06 14:06:47.580137
Nipagin Metilparabeno,23439.8,
Carbopol Acrypol 940,24345.03,
Trietanolamina 85%,6360.07,
Glicerina Refinada Alimenticia,3792.9,
COSTO_POTE,979.6489999999999,2026-03-07 04:47:57.335241
Nipagin Metilparabeno,23603.94,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,4001.29,
COSTO_POTE,991.04895,2026-03-07 13:51:26.598314
Nipagin Metilparabeno,23603.94,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,4001.29,
COSTO_POTE,991.04895,2026-03-08 05:02:04.737408
Nipagin Metilparabeno,23603.94,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,4001.29,
COSTO_POTE,991.04895,2026-03-08 13:52:14.475800
Nipagin Metilparabeno,23603.94,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,4001.29,
COSTO_POTE,991.04895,2026-03-09 05:12:36.257098
Nipagin Metilparabeno,23603.94,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,4001.29,
COSTO_POTE,991.04895,2026-03-09 15:14:05.860731
Nipagin Metilparabeno,23603.94,
Carbopol Acrypol 940,24515.53,
Trietanolamina 85%,6404.35,
Glicerina Refinada Alimenticia,4001.29,
COSTO_POTE,991.04895,2026-03-10 05:01:28.333709
Nipagin Metilparabeno,23686.19,
Carbopol Acrypol 940,24600.95,
Trietanolamina 85%,6426.67,
Glicerina Refinada Alimenticia,4015.14,
COSTO_POTE,994.49995,2026-03-10 14:36:21.564883
Nipagin Metilparabeno,23686.19,
Carbopol Acrypol 940,24600.95,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,4015.14,
COSTO_POTE,992.27695,2026-03-11 05:02:55.091098
Nipagin Metilparabeno,23357.55,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,6337.75,
Glicerina Refinada Alimenticia,3960.1,
COSTO_POTE,980.72425,2026-03-11 14:37:37.197863
Nipagin Metilparabeno,23357.55,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,3960.1,
COSTO_POTE,978.0395000000001,2026-03-12 05:07:54.366941
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,6343.44,
COSTO_POTE,1037.21265,2026-03-12 13:17:28.288271
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,6343.44,
COSTO_POTE,1037.21265,2026-03-13 02:41:02.603551
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,6343.44,
COSTO_POTE,1037.21265,2026-03-19 13:22:17.287796
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,6315.61,
Glicerina Refinada Alimenticia,6343.44,
COSTO_POTE,1037.21265,2026-03-20 02:41:51.001581
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7364.3,
Glicerina Refinada Alimenticia,6343.44,
COSTO_POTE,1063.4299,2026-03-20 13:15:11.352703
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7364.3,
Glicerina Refinada Alimenticia,6343.44,
COSTO_POTE,1063.4299,2026-03-21 02:35:14.707185
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-21 13:04:32.609054
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-22 02:51:43.252124
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-22 13:06:41.038934
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-23 02:51:49.739764
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-23 13:24:09.457308
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-24 02:43:18.512367
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-24 13:27:45.027486
